Milliseconds,Weight (grams)
5648,-0.9083766
5659,-0.6086123
5670,-1.180889
5720,-0.5904448
5728,-1.308062
5739,-1.153638
5750,-1.489738
5762,-1.88034
5773,-2.588873
5785,-2.643376
5796,-1.462486
5808,-1.053717
5819,-1.217225
5867,-1.644162
5876,-1.789502
5888,-1.971177
5899,-1.526073
5911,-0.7902876
5922,-1.008298
5933,-0.7176175
5945,-1.199057
5956,-1.462486
5968,-1.680497
6018,-0.5995286
6025,-0.5995286
6036,-1.271727
6048,-1.271727
6059,-1.135471
6071,-1.580575
6082,-1.507905
6093,-2.062015
6105,-1.635078
6116,-0.8266227
6175,-1.971177
6185,-1.907591
6196,-1.208141
6208,-0.6358636
6219,-0.8266227
6231,-1.25356
6242,-0.7267013
6254,-1.117303
6265,-0.6267798
6276,-0.9265441
6333,-0.9628791
6334,-0.3270155
6345,-1.407984
6356,-1.625994
6368,-1.280811
6379,-0.08175388
6391,-0.5086909
6402,-1.725915
6414,-0.8447903
6425,-0.853874
6482,-1.607826
6494,-0.8992928
6505,-0.3906019
6516,-1.435235
6528,-1.435235
6539,-1.199057
6551,-1.271727
6562,-2.452617
6574,-1.789502
6585,-0.8266227
6643,-1.25356
6654,-1.371649
6665,-0.9992143
6676,-1.099136
6688,-0.3179318
6699,-0.463272
6711,-0.9719629
6722,-1.32623
6734,-1.526073
6745,-1.598743
6802,-0.9447116
6814,-0.8811253
6825,-1.671413
6837,-1.407984
6848,-2.543454
6859,-2.825051
6871,-2.016596
6882,-0.463272
6894,-1.044633
6905,-1.816753
6962,-1.353481
6974,-1.217225
6985,-1.335314
6997,-1.871256
7008,-3.324658
7019,-2.634292
7031,-1.744083
7042,-1.898507
7054,-2.052931
7065,-0.09992142
7123,-1.762251
7134,-1.934842
7145,-1.389816
7157,-1.144554
7168,-0.3633506
7179,-0.7630363
7191,-0.8811253
7202,-1.562408
7214,-1.153638
7225,-1.271727
7287,-1.980261
7294,-2.280025
7305,-1.844004
7317,-1.453403
7328,-0.1090052
7340,-0.8992928
7351,-1.598743
7362,-1.308062
7374,-1.162722
7385,-1.725915
7445,0.1907591
7454,-0.9992143
7465,-1.489738
7477,-1.662329
7488,-1.925758
7500,-0.9083766
7511,-0.735785
7522,-1.271727
7534,-1.289895
7547,-1.435235
7720,-2.434449
7728,-1.135471
7740,-1.153638
7751,-1.889423
7762,-1.644162
7774,-1.871256
7785,-2.552538
7797,-2.107434
7808,-1.789502
7820,-1.962093
7880,-1.362565
7888,-2.307276
7900,-1.035549
7911,-0.6540311
7923,-0.9356278
7934,-0.9265441
7945,-1.61691
7957,-2.216439
7968,-1.135471
7980,-1.335314
8041,-1.671413
