5300,3.351909
5312,4.351124
5323,5.804526
5335,3.996857
5346,3.251988
5358,9.656043
5369,6.749238
5380,13.2078
5432,122.0313
5438,488.4159
5449,1497.813
5460,1358.968
5475,1515.063
5483,1695.839
5495,1781.254
5506,2069.936
5517,2342.067
5529,2459.057
5583,3449.878
5586,3771.234
5597,4204.784
5609,4486.372
5620,4851.875
5632,5068.968
5643,5358.414
5655,5489.638
5666,5698.746
5677,5760.143
5730,6162.281
5735,6249.912
5746,6358.146
5757,6394.135
5769,6497.508
5780,6553.028
5792,6679.356
5803,6764.417
5815,6857.634
5826,6931.867
5882,7215.953
5883,7286.651
5895,7365.354
5906,7437.706
5917,7512.174
5929,7560.745
5940,7628.392
5952,7708.547
5963,7793.298
5974,7872.554
6031,8113.837
6043,8287.728
6054,8354.157
6066,8398.396
6077,8432.423
6096,8503.531
6100,8601.036
6112,8719.652
6123,8791.495
6134,8839.467
6192,9117.049
6203,9187.275
6214,9223.192
6226,9278.794
6237,9384.229
6249,9517.987
6260,9601.077
6272,9614.476
6283,9662.129
6294,9721.128
6352,9956.934
6363,10007.98
6374,10079.54
6386,10163.77
6397,10221.73
6409,10268.55
6420,10342.12
6431,10414.33
6443,10465.44
6454,10515.93
6513,10745.49
6523,10872.27
6534,10978.29
6546,11063.43
6557,11131.9
6569,11168.87
6580,11214.53
6591,11246.58
6603,11286.63
6614,11349.85
6677,11528.01
6683,11593.84
6694,11640.97
6706,11657.56
6717,11674.6
6736,11714.67
6740,11752.23
6751,11797.87
6763,11873.74
6774,11927.73
6893,12219.75
6900,12262.55
6911,12297.57
6923,12337.3
6934,12390.09
6946,12440.53
6957,12538.57
6968,12657.25
6980,12755.31
6991,12850.42
7052,13107.15
7060,12891.67
7071,12496.56
7083,11756.95
7094,10620.82
7106,9188.11
7117,7461.096
7128,5572.127
7140,4318.631
7151,3151.976
7215,535.6515
7220,419.0886
7231,305.2418
7243,206.1742
7254,147.1752
7265,107.3429
7277,82.43517
7288,69.15471
7300,49.73362
7311,27.38755
7373,-7.494107
7380,3.451831
7391,0.5086909
