Milliseconds,Weight (grams)
5376,-1.989345
5387,-1.371649
5438,-1.444319
5444,-2.016596
5456,-1.489738
5467,-1.653245
5481,-1.217225
5490,-0.9083766
5501,-1.071884
5513,-2.080182
5524,-1.734999
5535,-1.180889
5589,-3.061229
5592,-2.498035
5604,-1.598743
5615,-1.435235
5626,-1.017382
5638,-1.47157
5649,-1.943926
5661,-0.69945
5672,-0.6540311
5683,-0.5904448
5738,-2.479868
5740,-1.925758
5752,-2.016596
5763,-3.279239
5775,-2.661543
5786,-1.653245
5797,-1.317146
5809,-0.5450259
5820,-1.607826
5831,-0.9083766
5889,-1.026466
5900,-2.180104
5911,-1.68958
5923,-0.7448688
5934,-0.6086123
5945,-0.7539526
5957,-1.744083
5968,-1.535156
5980,-0.272513
5991,-0.5450259
6047,-1.426151
6048,-1.344397
6059,-1.943926
6071,-3.106648
6082,-2.116517
6096,-0.2906805
6105,0.0
6116,-1.289895
6128,-2.825051
6139,-2.152853
6194,-1.943926
6196,-2.180104
6207,-1.453403
6219,-0.4996071
6230,-0.9992143
6242,-2.298193
6253,-2.09835
6264,-1.95301
6276,-1.607826
6287,-1.099136
6345,-2.970391
6355,-1.889423
6367,-1.498821
6378,-1.244476
6390,-0.8175389
6401,-1.943926
6412,-1.980261
6424,-2.343611
6435,-2.234606
6446,-1.580575
6506,-1.344397
6515,-2.770549
6526,-2.09835
6538,-2.09835
6549,-2.270941
6560,-2.161936
6572,-2.189188
6583,-2.261858
6595,-1.962093
6606,-1.653245
6664,-1.32623
6674,-1.526073
6686,-0.7812038
6697,-0.9628791
6708,-1.671413
6720,-1.526073
6731,-1.716832
6743,-1.834921
6754,-1.262643
6765,-1.271727
6824,-1.635078
6834,-1.998428
6845,-2.470784
6857,-1.417067
6868,-0.3179318
6879,-0.03633506
6891,-0.8629578
6902,-0.9174603
6914,-1.335314
6925,-1.480654
7041,-1.635078
7050,-1.344397
7062,-1.562408
7073,-1.807669
7084,-1.344397
7096,-2.071099
7107,-2.007512
7118,-1.32623
7130,-1.426151
7141,-1.725915
7199,-2.062015
7210,-1.598743
7221,-1.026466
7232,-1.844004
7244,-1.535156
7255,-1.099136
7267,-1.108219
7278,-1.162722
7289,-2.180104
7301,-1.162722
7364,-2.4617
7369,-2.888638
7380,-2.207355
7392,-1.344397
7406,-1.32623
7415,-1.798586
7426,-1.453403
7437,-0.8811253
7449,-1.916675
7460,-2.434449
7520,-1.943926
7529,-3.170234
7540,-2.616124
7551,-1.407984
7563,-0.9810467
7574,-1.462486
7585,-1.407984
7597,-1.516989
7608,-1.262643
7620,-2.125601
7680,-2.443533
7688,-2.679711
7699,-2.498035
7711,-1.180889
7722,0.2997643
7734,-0.03633506
7745,-1.344397
7756,-2.588873
7768,-2.252774
7779,-1.716832
7843,-2.452617
7847,-1.762251
7859,-1.435235
7870,-1.353481
7882,-1.435235
7893,-2.089266
7904,-2.779632
7916,-2.479868
7927,-2.934056
7939,-1.88034
8001,-1.026466
8007,-2.38903
8018,-2.161936
8030,-2.034764
8045,-1.753167
8052,-1.853088
8064,-1.026466
8075,-1.635078
8087,-2.425365
8098,-1.971177
8162,-1.362565
8166,-1.417067
8178,-2.261858
8189,-2.116517
8200,-0.7267013
8212,-1.426151
8223,-2.216439
8235,-1.489738
8246,-1.95301
8257,-2.343611
8322,-3.224737
8326,-3.42458
8337,-2.116517
8349,-0.9719629
8360,-0.8629578
8371,-1.489738
8383,-1.480654
8394,-1.162722
8406,-1.171806
8417,-1.371649
8480,0.01816753
8485,-0.8357064
8497,-1.635078
8508,-1.435235
8519,-1.498821
8531,-1.780418
8542,-1.95301
8554,-1.807669
8565,-2.379946
8576,-2.516203
8681,-1.662329
8690,-1.171806
8702,-1.925758
8713,-1.044633
8724,-0.7176175
8736,-1.298978
8747,-2.398114
8759,-2.697878
8770,-2.561622
8781,-1.498821
8829,-2.352695
8838,-2.552538
8850,-1.208141
8861,-1.562408
8873,-1.680497
8884,-2.261858
8895,-2.661543
8907,-1.54424
8918,-1.789502
8929,-1.798586
8975,-2.125601
8986,-1.962093
8998,-1.980261
9009,-1.435235
9021,-1.353481
9032,-1.780418
9043,-2.116517
9055,-1.834921
9066,-1.998428
9077,-1.825837
9124,-2.17102
9134,-1.844004
9146,-1.598743
9157,-1.507905
9169,-1.580575
9180,-0.617696
9191,-0.6449473
9203,-1.435235
9214,-1.68958
9226,-2.625208
9279,-2.289109
9283,-1.789502
9294,-2.216439
9305,-1.862172
9320,-1.734999
9328,-1.289895
9339,-0.6086123
9351,-0.3179318
9362,-1.453403
9374,-2.225523
9422,-2.743297
9431,-2.043847
9442,-1.362565
9453,-2.052931
9465,-2.616124
9476,-2.761465
9488,-1.816753
9499,-0.8629578
9510,-1.716832
9522,-2.116517
9636,-2.4617
9647,-3.315574
9658,-2.597957
9670,-2.988559
9681,-3.342826
9693,-2.625208
9704,-2.361779
9715,-2.825051
9727,-2.470784
9738,-2.679711
9793,-2.443533
9795,-3.142983
9806,-3.778847
9818,-3.16115
9829,-1.844004
9841,-2.089266
9852,-2.24369
9863,-2.770549
9875,-2.325444
9886,-2.706962
9938,-3.206569
9943,-1.844004
9954,-2.815967
9966,-3.052145
9983,-2.579789
9989,-2.261858
10000,-2.861386
10011,-2.534371
10023,-2.180104
10034,-2.007512
10088,-2.65246
10091,-2.189188
10103,-1.980261
10114,-1.653245
10125,-1.998428
10137,-1.571491
10148,-2.352695
10160,-2.679711
10171,-2.352695
10182,-1.607826
10234,-2.743297
10239,-2.270941
10251,-1.580575
10262,-1.262643
10273,-1.535156
10285,-2.143769
10296,-2.080182
10308,-1.662329
10319,-2.434449
10330,-3.297407
10384,-1.998428
10387,-1.771334
10399,-1.916675
10410,-1.117303
10421,-2.743297
10433,-3.215653
10444,-2.552538
10456,-1.035549
10467,-1.635078
10478,-0.853874
10533,-2.143769
10535,-2.17102
10547,-2.143769
10558,-2.7978
10569,-2.479868
10581,-1.171806
10592,-2.434449
10604,-2.597957
10615,-2.334528
10626,-3.215653
10682,-3.442747
10683,-2.407198
10695,-2.915889
10706,-3.043061
10717,-1.762251
10729,-1.562408
10740,-2.452617
10752,-2.7978
10763,-3.08848
10774,-3.179318
10828,-2.607041
10831,-3.024894
10843,-2.470784
10854,-1.644162
10866,-1.753167
10877,-2.72513
10888,-2.034764
10900,-2.31636
10911,-1.598743
10923,-2.116517
10985,-2.770549
10991,-2.289109
11002,-1.716832
11014,-0.9719629
11025,-1.644162
11036,-2.180104
11048,-1.662329
11059,-2.02568
11071,-2.788716
11082,-2.198271
11141,-3.197485
11150,-3.23382
11162,-2.534371
11173,-2.298193
11184,-1.589659
11196,-1.099136
11212,-2.071099
11219,-2.516203
11230,-1.426151
11241,-2.043847
11300,-3.124815
11310,-2.225523
11321,-0.7993713
11333,-0.5995286
11344,-0.8266227
11355,-1.080968
11367,-1.680497
11378,-1.762251
11389,-0.6449473
11401,-1.816753
11462,-2.234606
11469,-3.124815
11481,-2.479868
11492,-0.7539526
11503,-0.735785
11515,-1.834921
11526,-2.062015
11537,-1.053717
11549,-0.7539526
11560,-3.061229
11624,-1.989345
11629,-2.716046
11640,-2.924973
11651,-2.834135
11663,-3.270156
11674,-2.443533
11685,-1.943926
11697,-1.680497
11708,-1.580575
11720,-1.68958
11786,-1.998428
11788,-1.771334
11799,-1.962093
11811,-1.635078
11822,-0.5541097
11834,-1.362565
11845,-2.597957
11856,-3.043061
11868,-2.470784
11879,-1.444319
