Milliseconds,Weight (grams)
5521,-1.88034
5525,-0.9537953
5536,-1.47157
5548,-1.117303
5559,-1.989345
5570,-1.716832
5623,-2.007512
5628,-1.662329
5639,-1.762251
5650,-1.671413
5662,-1.562408
5673,-1.208141
5685,-0.8084551
5696,-1.725915
5707,-1.108219
5719,-1.426151
5771,-1.744083
5776,-1.562408
5787,-1.54424
5799,-1.753167
5810,-1.644162
5822,-1.734999
5833,-1.362565
5844,-1.707748
5856,-2.216439
5867,-2.38903
5922,-2.607041
5924,-2.370863
5936,-2.697878
5947,-2.207355
5958,-1.308062
5970,-1.61691
5981,-1.580575
5993,-1.653245
6004,-1.144554
6016,-0.9537953
6068,-2.616124
6073,-1.716832
6084,-1.535156
6095,-2.443533
6107,-1.498821
6118,-1.444319
6130,-2.180104
6141,-2.207355
6153,-2.607041
6164,-2.65246
6288,-1.707748
6290,-1.998428
6301,-2.17102
6312,-1.816753
6324,-2.852302
6335,-2.407198
6347,-2.407198
6358,-2.31636
6369,-2.261858
6381,-1.753167
6441,-2.72513
6449,-2.897721
6461,-2.016596
6472,-0.9992143
6484,-1.162722
6495,-2.343611
6506,-1.671413
6518,-2.370863
6529,-3.742512
6541,-3.197485
6598,-2.261858
6609,-1.789502
6621,-1.353481
6632,-1.153638
6643,-1.662329
6655,-2.979475
6666,-2.452617
6678,-1.298978
6689,-2.107434
6700,-2.643376
6758,-1.090052
6769,-1.353481
6780,-1.235392
6792,-1.25356
6803,-1.162722
6820,-1.47157
6826,-1.371649
6837,-1.380732
6849,-2.516203
6860,-2.761465
6915,-1.362565
6917,-1.3989
6929,-1.607826
6940,-1.480654
6952,-2.834135
6963,-2.298193
6974,-0.7630363
6986,-2.134685
6997,-2.216439
7009,-1.95301
7065,-2.616124
7077,-2.743297
7089,-2.788716
7100,-2.02568
7111,-1.153638
7123,-0.4541883
7134,-1.062801
7146,-1.943926
7157,-2.17102
7168,-2.034764
7228,-2.952224
7237,-2.052931
7248,-1.535156
7260,-2.370863
7271,-2.72513
7283,-2.552538
7294,-2.134685
7305,-2.634292
7317,-2.843219
7328,-1.444319
7387,-2.180104
7397,-2.634292
7408,-3.142983
7420,-3.170234
7431,-3.043061
7442,-2.607041
7454,-2.325444
7465,-2.579789
7477,-3.08848
7488,-3.506334
7548,-3.16115
7557,-2.779632
7568,-2.934056
7579,-3.024894
7591,-1.662329
7602,-1.68958
7614,-2.379946
7625,-2.552538
7636,-2.02568
7648,-1.871256
7714,-2.234606
7716,-2.65246
7728,-1.962093
7739,-1.035549
7751,-0.7539526
7762,-2.02568
7773,-2.543454
7785,-2.879554
7796,-1.716832
7808,-1.998428
7870,-2.252774
7876,-3.206569
7888,-3.124815
7899,-2.434449
7910,-2.089266
7922,-1.998428
7933,-2.071099
7945,-2.189188
7956,-2.706962
7967,-3.324658
8029,-1.989345
8036,-1.825837
8047,-2.788716
8059,-2.688795
8070,-1.825837
8085,-2.852302
8093,-2.152853
8104,-1.95301
8116,-2.38903
8127,-3.388245
8195,-3.597171
8196,-3.115731
8207,-2.17102
8219,-2.02568
8230,-2.107434
8241,-1.644162
8253,-1.062801
8264,-1.707748
8276,-1.844004
8287,-1.716832
8355,-2.252774
8367,-1.335314
8378,-1.462486
8390,-2.988559
8401,-2.343611
8413,-2.034764
8424,-1.671413
8435,-2.071099
8447,-1.989345
8458,-2.034764
8529,-3.360993
8538,-3.242904
8550,-3.188402
8561,-3.115731
8572,-2.361779
8584,-2.007512
8595,-1.571491
8607,-1.526073
8618,-2.007512
8629,-2.488952
8799,-2.416282
8801,-3.270156
8812,-2.570706
8824,-2.561622
8835,-1.453403
8852,-0.7902876
8858,-1.417067
8869,-2.434449
8881,-2.4617
8892,-0.9810467
8946,-2.134685
8949,-1.771334
8961,-1.780418
8972,-1.771334
8983,-2.152853
8995,-2.089266
9006,-2.280025
9018,-2.643376
9029,-3.224737
9040,-3.079396
9090,-2.080182
9098,-2.398114
9109,-2.334528
9120,-2.225523
9132,-2.470784
9143,-2.706962
9155,-1.244476
9166,-1.671413
9177,-2.434449
9189,-2.09835
9238,-3.070313
9246,-2.343611
9257,-2.334528
9269,-0.8720415
9280,-0.8357064
9291,-1.335314
9303,-2.107434
9314,-1.68958
9326,-1.798586
9337,-1.862172
9385,-1.635078
9394,-1.553324
9406,-1.916675
9417,-1.444319
9429,-1.889423
9445,-1.716832
9451,-1.671413
9463,-2.007512
9474,-2.189188
9486,-2.180104
9535,-1.562408
9543,-3.370077
9554,-3.242904
9566,-2.588873
9577,-2.071099
9588,-1.88034
9600,-3.115731
9611,-3.71526
9623,-2.779632
9634,-2.470784
9691,-2.706962
9702,-3.16115
9714,-2.498035
9725,-2.152853
9737,-1.698664
9748,-2.016596
9760,-1.635078
9771,-2.134685
9782,-1.962093
9794,-1.053717
9847,-2.24369
9851,-1.943926
9862,-2.879554
9874,-2.398114
9885,-2.261858
9896,-2.4617
9908,-1.780418
9919,-2.516203
9931,-3.106648
9942,-2.7978
9994,-2.298193
9999,-1.943926
10011,-2.143769
10022,-1.998428
10033,-1.898507
10050,-2.552538
10056,-2.352695
10068,-2.379946
10079,-2.498035
10090,-2.770549
10142,-3.197485
10148,-2.788716
10159,-3.079396
10170,-2.498035
10182,-2.72513
10193,-1.798586
10205,-1.925758
10216,-1.426151
10228,-1.498821
10239,-1.61691
10291,-2.307276
10296,-2.107434
10307,-1.707748
10319,-1.444319
10330,-1.444319
10342,-1.589659
10353,-2.488952
10364,-2.834135
10376,-1.971177
10387,-1.889423
10445,-1.144554
10456,-2.588873
10467,-3.351909
10479,-1.516989
10490,-0.3724344
10501,-2.080182
10513,-2.625208
10524,-2.043847
10536,-2.089266
10547,-2.679711
10601,-2.761465
10604,-2.552538
10616,-2.370863
10627,-1.671413
10638,-1.507905
10657,-1.898507
10661,-2.588873
10673,-2.325444
10684,-2.434449
10695,-2.688795
10753,-1.553324
10764,-1.925758
10775,-2.543454
10787,-2.125601
10798,-1.117303
10810,-1.980261
10821,-1.88034
10832,-1.044633
10844,-0.5450259
10855,-0.6358636
10914,-0.2270941
10924,-0.1725916
10935,-0.03633506
10947,0.1362565
10958,0.9992143
10969,2.007512
10981,3.415496
10992,6.749238
11004,10.58259
11015,12.78086
11133,62.45997
11141,59.52592
11152,70.85337
11163,121.0412
11175,192.6394
11186,279.7618
11198,428.7174
11209,630.0318
11220,806.0298
11232,965.5861
11289,1447.089
11300,1564.987
11312,1558.402
11323,1615.221
11340,1642.208
11346,1710.973
11357,1782.108
11369,1858.811
11380,1956.988
11392,2020.62
11451,2324.417
11460,2427.427
11472,2446.967
11483,2534.661
11494,2548.623
11506,2657.428
11517,2713.248
11529,2778.433
11540,2827.84
11551,2910.947
11612,3256.076
11620,3442.239
11631,3535.501
11643,3597.943
11654,3656.888
11666,3753.866
11677,3804.608
11688,3939.157
11700,4047.299
11711,4061.088
11779,4462.418
11791,4682.563
11803,4805.957
11814,4899.083
11826,4942.159
11837,5068.978
11848,5149.223
11860,5127.84
11871,5318.745
11883,5444.564
11947,5848.364
11951,5841.661
11962,5833.458
11974,5838.391
11992,6053.085
11997,6101.111
12008,6085.832
12020,6005.932
12031,5885.681
12042,5776.757
12106,5461.459
12111,5498.349
12122,5499.811
12134,5458.553
12145,5652.482
12156,5779.7
12168,5733.664
12179,5863.979
12191,5959.532
12202,5804.145
12268,5476.275
12271,5463.022
12282,5323.541
12293,5040.236
12305,4812.288
12316,4726.456
12328,4642.994
12339,4453.025
12351,4522.607
12362,4398.786
12429,4343.72
12431,4312.227
12442,4169.021
12453,4172.655
12465,4139.781
12476,4176.434
12487,4150.363
12499,4033.328
12510,4030.767
12522,3990.217
12590,3740.558
12602,3648.267
12613,3559.528
12624,3530.287
12636,3323.159
12647,3324.722
12660,3221.957
12670,3181.489
12681,3039.728
12693,3005.082
12760,2340.123
12762,2163.262
12773,2006.577
12784,1870.465
12796,1730.639
12807,1615.929
12819,1493.462
12830,1336.749
12841,1202.545
12853,1073.819
12919,566.7452
12921,478.3239
12933,396.5064
12944,328.3055
12955,282.8412
12967,259.0236
12978,213.9681
12990,194.0656
13001,170.4569
13013,145.6945
13124,19.34842
13127,16.49612
13138,22.45507
13150,12.42659
13161,10.4645
13172,3.033978
13184,1.435235
13195,4.12403
13207,2.579789
13218,0.5359422
13266,1.362565
13275,1.044633
13287,0.7539526
13298,0.426937
13309,-1.526073
13321,-2.507119
13332,-1.480654
13350,-1.807669
13355,-3.224737
13366,-2.788716
13413,-1.380732
13423,-0.1180889
13435,-1.171806
13446,-1.017382
13458,-1.943926
13469,-2.152853
13481,-3.033978
13492,-3.261072
13503,-2.906805
13515,-1.117303
13622,-2.325444
13629,-2.716046
13640,-1.071884
13652,0.0
13663,-0.1090052
13675,-0.3179318
13686,-0.07267013
13697,0.2089266
13709,-0.6721987
13720,-1.262643
13767,-1.971177
13777,-1.61691
13789,-1.244476
13800,-0.4814395
13812,0.4996071
13823,0.3542669
13834,-0.7085337
13846,-1.344397
13857,-0.5177746
13869,-1.3989
13917,-1.008298
13926,-1.162722
13937,-0.3633506
13948,-0.6903662
13960,-1.035549
13971,-1.062801
13990,-0.4723558
13994,-1.235392
14006,-2.180104
14017,-0.2634292
14066,-0.1725916
14074,-0.890209
14085,-1.435235
14097,-0.7448688
14108,-0.08175388
14120,-0.2452617
14131,-0.2361779
14142,0.5541097
14154,0.5450259
14165,-0.2270941
14216,-0.9356278
14222,-1.389816
14234,-0.9174603
14245,-0.9901304
14257,-0.1271727
14268,-0.4541883
14279,-0.3996857
14291,-0.4905233
14302,-0.1998428
14314,-1.171806
14367,0.308848
14371,-0.5631934
14382,-0.6721987
14394,-0.07267013
14405,-0.009083766
14416,-1.562408
14428,-1.289895
14439,-0.3724344
14451,-0.6358636
14462,-1.244476
14515,-1.162722
14519,-0.6086123
14531,-1.580575
14542,-1.298978
14553,-0.8720415
14565,-1.153638
14576,-1.126387
14590,-1.071884
14599,-0.8357064
14611,-0.5450259
14667,-0.3360993
14679,-0.3724344
14690,-0.7085337
14702,-0.154424
14713,-0.4814395
14725,-0.9174603
14736,-1.480654
14747,-1.298978
14759,-0.2906805
14770,0.5450259
14827,-0.1362565
14839,-1.625994
14850,-0.7176175
14862,0.7176175
14873,-0.2906805
14884,0.01816753
14896,-0.7448688
14907,-1.980261
14919,-1.090052
14930,-0.9265441
14984,0.5995286
14987,-0.6358636
14999,-1.753167
15010,-1.526073
15021,-0.1271727
15033,0.2361779
15044,-0.3270155
15056,-0.3724344
15067,0.07267013
15078,-0.6267798
15135,-1.580575
15147,-0.1907591
15158,-0.890209
15170,-0.9719629
15181,-1.934842
15193,-1.462486
15205,-1.435235
15215,-1.126387
15227,-0.9628791
15238,0.06358636
15300,-0.2634292
15307,-0.1816753
15318,-0.9356278
15330,-1.798586
15341,-1.489738
