Milliseconds,Weight (grams)
5482,-1.716832
5494,-1.780418
5505,-0.9628791
5516,-1.407984
5528,-2.561622
5539,-1.480654
5551,-1.553324
5562,-2.31636
5574,-2.016596
5622,-1.571491
5631,-1.780418
5642,-2.216439
5653,-1.280811
5665,-0.2270941
5676,-1.180889
5688,-2.161936
5699,-2.65246
5711,-1.516989
5722,-0.9265441
5773,-1.625994
5779,-1.535156
5791,-1.916675
5802,-1.435235
5813,-1.298978
5825,-1.035549
5836,-1.353481
5848,-1.598743
5859,-0.8266227
5871,-0.9083766
5924,-1.734999
5928,-1.653245
5939,-0.9537953
5950,-2.02568
5962,-2.407198
5973,-2.261858
5985,-1.535156
5996,-0.7448688
6008,-1.598743
6019,-2.534371
6073,-2.207355
6076,-2.152853
6088,-1.217225
6099,-0.8720415
6110,-1.462486
6126,-1.417067
6133,-2.052931
6145,-1.716832
6156,-2.416282
6168,-3.597171
6224,-2.134685
6236,-0.3451831
6247,-0.8629578
6259,-2.007512
6270,-2.143769
6282,-1.771334
6293,-1.335314
6305,-1.707748
6316,-2.189188
6327,-2.688795
6383,-0.9992143
6385,-1.625994
6396,-2.189188
6407,-2.09835
6419,-2.225523
6430,-2.080182
6442,-2.679711
6453,-2.588873
6464,-3.052145
6476,-2.189188
6532,-1.825837
6544,-1.707748
6556,-2.261858
6567,-1.698664
6579,-1.271727
6590,-1.3989
6602,-2.298193
6613,-1.389816
6624,-1.108219
6636,-1.335314
6693,-1.389816
6704,-1.853088
6716,-1.834921
6727,-1.417067
6743,-2.071099
6750,-2.543454
6761,-2.116517
6773,-3.806098
6784,-2.924973
6796,-2.488952
6854,-2.107434
6864,-1.571491
6876,-2.407198
6887,-2.852302
6899,-1.889423
6910,-1.298978
6921,-1.516989
6933,-1.68958
6944,-0.4178532
6956,-1.507905
7011,-0.4451045
7013,-1.244476
7024,-2.052931
7036,-1.625994
7047,-1.68958
7058,-1.589659
7070,-2.416282
7081,-2.216439
7093,-1.734999
7104,-2.398114
7225,-1.417067
7230,-2.080182
7241,-1.180889
7253,-1.698664
7264,-1.88034
7275,-1.771334
7287,-1.344397
7298,-0.6267798
7310,-1.026466
7321,-0.7993713
7382,-1.47157
7390,-1.771334
7401,-0.8720415
7412,-1.989345
7431,-2.17102
7435,-1.653245
7447,-0.9083766
7458,-0.69945
7470,-0.3179318
7481,-0.9265441
7545,-1.271727
7550,-1.462486
7561,-1.644162
7572,-1.308062
7584,-1.435235
7595,-1.389816
7607,-1.153638
7618,-1.25356
7630,-1.199057
7641,-1.753167
7701,-2.189188
7710,-2.089266
7721,-1.780418
7732,-1.980261
7744,-1.816753
7755,-1.762251
7767,-1.344397
7778,-1.825837
7789,-1.644162
7801,-1.734999
7866,-1.262643
7869,-1.834921
7881,-2.570706
7892,-2.543454
7904,-2.87047
7915,-2.09835
7927,-1.871256
7938,-1.789502
7949,-2.261858
7961,-1.426151
8019,-2.043847
8029,-1.598743
8041,-1.962093
8052,-1.090052
8071,-1.362565
8075,-2.679711
8086,-2.815967
8098,-1.780418
8109,-1.226308
8121,-1.262643
8183,-1.235392
8189,-1.462486
8201,-1.834921
8212,-1.807669
8224,-1.280811
8235,-0.5631934
8246,-1.189973
8258,-1.653245
8269,-1.135471
8281,-1.653245
8343,-1.489738
8349,-3.179318
8361,-3.152067
8372,-1.371649
8383,-1.053717
8395,-1.598743
8406,-1.389816
8418,-1.671413
8429,-2.152853
8441,-1.753167
8507,-2.570706
8509,-2.234606
